total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
115605504.0,115454976.0,231060480.0,742875.0,155.52,"{'Total scalar accesses': 237834240.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 1.87}","{'Total scalar accesses': 116852736.0, 'Op per Byte': 1.98}",{},{},"{'Total scalar accesses': 7155291.0, 'Op per Byte': 32.29}","{'Total scalar accesses': 742875.0, 'Op per Byte': 155.52}",895.42,87.5,258048.0,958.07,247.0,0.0,115605504.0,262.78,3494.85,2661.59,920.82,124.88,822.53,8287.45,ViT_00
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 234811392.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 135561216.0, 'Op per Byte': 1.71}",{},{},"{'Total scalar accesses': 6203136.0, 'Op per Byte': 37.44}","{'Total scalar accesses': 1195008.0, 'Op per Byte': 97.17}",63.96,6.25,3631104.0,1008.65,3660.0,0.0,116195328.0,262.78,3435.31,2504.45,1044.09,117.57,1316.41,8680.61,ViT_01
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 234811392.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 135561216.0, 'Op per Byte': 1.71}",{},{},"{'Total scalar accesses': 6203136.0, 'Op per Byte': 37.44}","{'Total scalar accesses': 1195008.0, 'Op per Byte': 97.17}",63.96,6.25,3631104.0,1008.65,3660.0,0.0,116195328.0,262.78,3435.31,2504.45,1044.09,117.57,1316.41,8680.61,ViT_02
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 234811392.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 135561216.0, 'Op per Byte': 1.71}",{},{},"{'Total scalar accesses': 6203136.0, 'Op per Byte': 37.44}","{'Total scalar accesses': 1195008.0, 'Op per Byte': 97.17}",63.96,6.25,3631104.0,1008.65,3660.0,0.0,116195328.0,262.78,3435.31,2504.45,1044.09,117.57,1316.41,8680.61,ViT_03
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 163904.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 226944.0, 'Op per Byte': 1.33}",{},{},"{'Total scalar accesses': 306552.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",31.43,3.08,9604.0,4.03,0.0387,0.0,151296.0,262.78,4970.6,2693.93,1309.08,4092.27,13319.8,26648.45,ViT_04
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 504517.0, 'Op per Byte': 1.84}","{'Total scalar accesses': 931416.0, 'Op per Byte': 1.0}",{},{},"{'Total scalar accesses': 1397124.0, 'Op per Byte': 0.66}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.2,465708.0,13.0,6.05,0.0,465708.0,262.78,4969.22,2689.79,1703.1,6316.32,11969.18,27910.39,ViT_05
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 234811392.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 135561216.0, 'Op per Byte': 1.71}",{},{},"{'Total scalar accesses': 6203136.0, 'Op per Byte': 37.44}","{'Total scalar accesses': 1195008.0, 'Op per Byte': 97.17}",63.96,6.25,3631104.0,1008.65,3660.0,0.0,116195328.0,262.78,3435.31,2504.45,1044.09,117.57,1316.41,8680.61,ViT_06
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 963452928.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 580976640.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 34041600.0, 'Op per Byte': 27.29}","{'Total scalar accesses': 4326144.0, 'Op per Byte': 107.37}",63.96,6.25,14524416.0,4063.52,59000.0,0.0,464781312.0,262.78,3518.94,2504.45,1109.99,155.29,1191.41,8742.86,ViT_07
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 956190720.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 467140608.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 542244864.0, 'Op per Byte': 1.71}",{},{},"{'Total scalar accesses': 28746240.0, 'Op per Byte': 32.33}","{'Total scalar accesses': 6444288.0, 'Op per Byte': 72.11}",63.99,6.25,14524416.0,4283.08,62200.0,0.0,464781312.0,262.78,3494.85,2504.45,1044.09,134.34,1774.75,9215.25,ViT_08
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 234811392.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 116785152.0, 'Op per Byte': 1.99}","{'Total scalar accesses': 135561216.0, 'Op per Byte': 1.71}",{},{},"{'Total scalar accesses': 6203136.0, 'Op per Byte': 37.44}","{'Total scalar accesses': 1195008.0, 'Op per Byte': 97.17}",63.96,6.25,3631104.0,1008.65,3660.0,0.0,116195328.0,262.78,3435.31,2504.45,1044.09,117.57,1316.41,8680.61,ViT_09
