total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
19267584.0,18866176.0,38133760.0,417995.0,45.62,"{'Total scalar accesses': 56999936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 38535168.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 19611648.0, 'Op per Byte': 0.97}","{'Total scalar accesses': 38133760.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 963294.0, 'Op per Byte': 19.79}","{'Total scalar accesses': 418526.0, 'Op per Byte': 45.56}",63.33,6.25,602112.0,122.04,73.5,0.0,19267584.0,398.55,178.4,182.19,182.19,2209.05,402.97,2780.61,6333.97,ConvNeXt_00
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2540109824.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 5034459136.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 161288192.0, 'Op per Byte': 15.61}","{'Total scalar accesses': 26816512.0, 'Op per Byte': 93.88}",63.99,6.25,78675968.0,12705.8,1000000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2222.59,515.67,1363.39,5046.73,ConvNeXt_01
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8960.0, 'Op per Byte': 0.35}","{'Total scalar accesses': 3584.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.43,4.22e-05,0.0,3136.0,398.55,169.18,182.19,182.19,2175.65,0.1,134204.08,137311.96,ConvNeXt_02
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8960.0, 'Op per Byte': 0.35}","{'Total scalar accesses': 3584.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.43,4.22e-05,0.0,3136.0,398.55,169.18,182.19,182.19,2175.65,0.1,134204.08,137311.96,ConvNeXt_03
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2540109824.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 5034459136.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 161288192.0, 'Op per Byte': 15.61}","{'Total scalar accesses': 26816512.0, 'Op per Byte': 93.88}",63.99,6.25,78675968.0,12705.8,1000000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2222.59,515.67,1363.39,5046.73,ConvNeXt_04
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8960.0, 'Op per Byte': 0.35}","{'Total scalar accesses': 3584.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.43,4.22e-05,0.0,3136.0,398.55,169.18,182.19,182.19,2175.65,0.1,134204.08,137311.96,ConvNeXt_05
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8960.0, 'Op per Byte': 0.35}","{'Total scalar accesses': 3584.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.43,4.22e-05,0.0,3136.0,398.55,169.18,182.19,182.19,2175.65,0.1,134204.08,137311.96,ConvNeXt_06
2517630976.0,2517229568.0,5034860544.0,1696256.0,1484.11,"{'Total scalar accesses': 7551287296.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2540109824.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 5034459136.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 161288192.0, 'Op per Byte': 15.61}","{'Total scalar accesses': 26816512.0, 'Op per Byte': 93.88}",63.99,6.25,78675968.0,12705.8,1000000.0,0.0,2517630976.0,398.55,182.14,182.19,182.19,2222.59,515.67,1363.39,5046.73,ConvNeXt_07
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8960.0, 'Op per Byte': 0.35}","{'Total scalar accesses': 3584.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.43,4.22e-05,0.0,3136.0,398.55,169.18,182.19,182.19,2175.65,0.1,134204.08,137311.96,ConvNeXt_08
3136.0,3080.0,6216.0,3248.0,0.96,"{'Total scalar accesses': 8960.0, 'Op per Byte': 0.35}","{'Total scalar accesses': 3584.0, 'Op per Byte': 0.87}","{'Total scalar accesses': 6272.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6048.0, 'Op per Byte': 0.51}",{},{},"{'Total scalar accesses': 3248.0, 'Op per Byte': 0.96}",63.43,6.25,98.0,0.43,4.22e-05,0.0,3136.0,398.55,169.18,182.19,182.19,2175.65,0.1,134204.08,137311.96,ConvNeXt_09
