total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
118013952.0,117211136.0,235225088.0,853996.0,137.72,"{'Total scalar accesses': 352436224.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 236027904.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 120121344.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 235225088.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 5892528.0, 'Op per Byte': 19.96}","{'Total scalar accesses': 900016.0, 'Op per Byte': 130.68}",63.78,6.25,3687936.0,535.89,1980.0,0.0,118013952.0,398.55,180.96,182.19,182.19,2218.31,402.55,976.18,4540.93,Resnet18_00
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346013696.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 243.1}",63.94,6.25,3612672.0,562.14,2030.0,0.0,115605504.0,398.55,181.56,182.19,182.19,2231.36,1160.59,526.09,4862.55,Resnet18_01
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346013696.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 243.1}",63.94,6.25,3612672.0,562.14,2030.0,0.0,115605504.0,398.55,181.56,182.19,182.19,2231.36,1160.59,526.09,4862.55,Resnet18_02
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346013696.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 243.1}",63.94,6.25,3612672.0,562.14,2030.0,0.0,115605504.0,398.55,181.56,182.19,182.19,2231.36,1160.59,526.09,4862.55,Resnet18_03
115605504.0,115404800.0,231010304.0,452864.0,255.05,"{'Total scalar accesses': 346013696.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16760832.0, 'Op per Byte': 6.89}","{'Total scalar accesses': 475136.0, 'Op per Byte': 243.1}",63.94,6.25,3612672.0,562.14,2030.0,0.0,115605504.0,398.55,181.56,182.19,182.19,2231.36,1160.59,526.09,4862.55,Resnet18_04
57802752.0,57702400.0,115505152.0,231680.0,249.28,"{'Total scalar accesses': 173006848.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 115605504.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 59867136.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 117010432.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 7653376.0, 'Op per Byte': 7.55}","{'Total scalar accesses': 370688.0, 'Op per Byte': 155.8}",63.94,6.25,1806336.0,292.97,529.0,0.0,57802752.0,398.55,181.56,182.19,182.19,2263.92,1039.11,820.9,5068.42,Resnet18_05
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 117964800.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 8216576.0, 'Op per Byte': 14.06}","{'Total scalar accesses': 1441792.0, 'Op per Byte': 80.15}",63.97,6.25,3612672.0,615.22,2220.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2229.01,551.34,1596.38,5321.71,Resnet18_06
6422528.0,6322176.0,12744704.0,158720.0,40.15,"{'Total scalar accesses': 18866176.0, 'Op per Byte': 0.34}","{'Total scalar accesses': 12845056.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 6881280.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 12644352.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 918528.0, 'Op per Byte': 6.94}","{'Total scalar accesses': 158720.0, 'Op per Byte': 40.15}",63.5,6.25,200704.0,47.84,9.6,0.0,6422528.0,398.55,176.5,182.19,182.19,2202.17,1142.35,3164.06,7448.03,Resnet18_07
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 117964800.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 8216576.0, 'Op per Byte': 14.06}","{'Total scalar accesses': 1441792.0, 'Op per Byte': 80.15}",63.97,6.25,3612672.0,615.22,2220.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2229.01,551.34,1596.38,5321.71,Resnet18_08
115605504.0,115505152.0,231110656.0,363008.0,318.33,"{'Total scalar accesses': 346615808.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 117964800.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 231612416.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 8216576.0, 'Op per Byte': 14.06}","{'Total scalar accesses': 1441792.0, 'Op per Byte': 80.15}",63.97,6.25,3612672.0,615.22,2220.0,0.0,115605504.0,398.55,182.04,182.19,182.19,2229.01,551.34,1596.38,5321.71,Resnet18_09
